               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 140,            0.014934,            0.011461,           0.0067932,             0.80187,             0.69312,             0.79751,             0.62617,           0.0094067,           0.0037793,            0.012386,           0.0065598,           0.0065598,           0.0065598
                 141,            0.015899,            0.011632,           0.0069148,             0.78698,             0.72676,             0.77666,             0.61724,           0.0095056,           0.0040406,            0.012877,            0.006535,            0.006535,            0.006535
                 142,            0.017274,            0.011664,           0.0060202,             0.74199,             0.72496,             0.77994,             0.60438,           0.0097585,            0.004059,            0.012732,           0.0065102,           0.0065102,           0.0065102
                 143,            0.016564,            0.011609,           0.0058345,             0.78884,             0.69202,             0.79334,             0.60854,            0.009686,           0.0039356,            0.012305,           0.0064855,           0.0064855,           0.0064855
                 144,            0.016849,              0.0115,           0.0064192,             0.73812,             0.76473,             0.80153,             0.61335,           0.0094204,           0.0040335,            0.013139,           0.0064608,           0.0064608,           0.0064608
                 145,            0.016342,            0.011177,           0.0061463,             0.81025,             0.72414,             0.79946,             0.58466,            0.010346,           0.0038668,             0.01334,            0.006436,            0.006436,            0.006436
                 146,            0.015509,            0.011717,           0.0059597,             0.76213,             0.71616,             0.79316,              0.6306,           0.0093011,            0.003938,            0.013578,           0.0064112,           0.0064112,           0.0064112
                 147,            0.014545,            0.011322,           0.0062255,             0.68845,             0.78772,             0.79493,             0.60574,           0.0097199,           0.0040028,             0.01225,           0.0063865,           0.0063865,           0.0063865
                 148,            0.015447,            0.011348,           0.0062984,             0.71309,             0.77301,             0.78602,             0.58823,           0.0097147,           0.0041232,            0.016153,           0.0063618,           0.0063618,           0.0063618
                 149,             0.01537,            0.011724,           0.0058351,             0.78825,             0.71328,             0.80555,             0.60333,           0.0098038,           0.0040523,             0.01231,            0.006337,            0.006337,            0.006337
                 150,            0.016354,            0.011028,            0.005471,             0.78314,             0.75327,             0.81058,             0.61229,           0.0094816,           0.0039815,             0.01361,           0.0063122,           0.0063122,           0.0063122
                 151,            0.015268,            0.011589,           0.0059193,             0.82189,             0.68873,             0.82128,             0.63565,           0.0092391,           0.0040802,            0.011811,           0.0062875,           0.0062875,           0.0062875
                 152,            0.015405,            0.011121,           0.0054568,             0.86808,             0.72938,             0.84229,             0.67667,           0.0094238,           0.0039334,            0.011339,           0.0062628,           0.0062628,           0.0062628
                 153,             0.01515,            0.011534,           0.0058506,             0.78985,             0.73541,              0.8091,             0.65584,           0.0091776,           0.0038965,            0.012952,            0.006238,            0.006238,            0.006238
                 154,            0.014926,            0.011757,           0.0063086,             0.84942,             0.71381,             0.78214,             0.62117,           0.0092156,           0.0038854,            0.013402,           0.0062132,           0.0062132,           0.0062132
                 155,            0.016344,             0.01163,           0.0063263,             0.86382,             0.72042,             0.79468,             0.62112,           0.0097135,           0.0039854,            0.013436,           0.0061885,           0.0061885,           0.0061885
